Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Ramiro Funes Mori,Villarreal,ARG,"DF,MF",27.0,9.1,,,,,,,,,
Mario Gaspar,Villarreal,ESP,DF,27.0,7.9,,,,,,,,,
Gerard Moreno,Villarreal,ESP,FW,26.0,7.9,,,,,,,,,
Álvaro González,Villarreal,ESP,DF,28.0,7.0,,,,,,,,,
Santiago Cáseres,Villarreal,ARG,MF,21.0,6.4,,,,,,,,,
Alfonso Pedraza,Villarreal,ESP,"DF,MF",22.0,6.3,,,,,,,,,
Jaume Costa,Villarreal,ESP,DF,30.0,5.9,,,,,,,,,
Manu Trigueros,Villarreal,ESP,MF,26.0,5.5,,,,,,,,,
Samuel Chukwueze,Villarreal,NGA,"MF,FW",19.0,5.6,,,,,,,,,
Karl Toko Ekambi,Villarreal,CMR,FW,25.0,5.0,,,,,,,,,
Carlos Bacca,Villarreal,COL,FW,31.0,4.2,,,,,,,,,
Miguel Juan Llambrich,Villarreal,ESP,"DF,FW",22.0,3.9,,,,,,,,,
Dani Raba,Villarreal,ESP,"MF,FW",22.0,2.9,,,,,,,,,
Santi Cazorla,Villarreal,ESP,MF,33.0,4.4,,,,,,,,,
Manu Morlanes,Villarreal,ESP,MF,19.0,3.5,,,,,,,,,
Vicente Iborra,Villarreal,ESP,MF,30.0,2.9,,,,,,,,,
Javi Fuego,Villarreal,ESP,MF,34.0,2.9,,,,,,,,,
Nicola Sansone,Villarreal,ITA,"MF,FW",26.0,2.5,,,,,,,,,
Daniele Bonera,Villarreal,ITA,DF,37.0,2.5,,,,,,,,,
Miguel Layún,Villarreal,MEX,"FW,DF",30.0,1.8,,,,,,,,,
Xavi Quintillà,Villarreal,ESP,DF,21.0,1.0,,,,,,,,,
Andrei Ratiu,Villarreal,ROU,DF,20.0,1.0,,,,,,,,,
José Campaña,Levante,ESP,MF,25.0,37.6,,,,,,,,,
José Luis Morales,Levante,ESP,"FW,MF",31.0,35.8,,,,,,,,,
