Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
José Luis Palomino,Atalanta,ARG,DF,28,2261,55.71808510638297,91.62234042553192,31.78191489361702,0.0,61.43617021276596,56.64893617021277,53.590425531914896,55.18617021276596,12.898936170212766,57.71276595744681,86.83510638297872,66.62234042553192,36.3031914893617
Gianluca Mancini,Atalanta,ITA,DF,22,2246,70.74468085106383,66.88829787234043,29.920212765957448,55.452127659574465,9.441489361702128,25.0,63.96276595744681,30.984042553191486,59.17553191489362,72.6063829787234,0.0,52.659574468085104,76.06382978723404
Robin Gosens,Atalanta,GER,DF,24,1942,52.79255319148937,59.04255319148937,23.00531914893617,0.0,91.75531914893617,74.20212765957447,94.0159574468085,78.72340425531915,73.40425531914893,77.3936170212766,0.0,17.95212765957447,71.94148936170212
Andrea Masiello,Atalanta,ITA,DF,32,1836,15.691489361702127,78.72340425531915,14.49468085106383,0.0,30.984042553191486,9.840425531914894,70.07978723404256,0.0,50.66489361702128,78.72340425531915,0.0,68.61702127659575,5.053191489361701
Timothy Castagne,Atalanta,BEL,DF,22,2006,26.861702127659576,23.8031914893617,10.77127659574468,0.0,67.2872340425532,64.09574468085107,85.23936170212765,93.75,59.70744680851063,86.17021276595744,0.0,31.648936170212767,39.09574468085106
Berat Djimsiti,Atalanta,ALB,DF,25,1807,44.547872340425535,55.98404255319149,70.34574468085107,0.0,32.71276595744681,26.329787234042552,53.72340425531915,49.86702127659575,19.81382978723404,79.25531914893617,0.0,36.83510638297872,57.446808510638306
Rafael Tolói,Atalanta,ITA,DF,27,1746,2.925531914893617,56.51595744680851,23.138297872340424,60.63829787234043,67.95212765957447,17.287234042553195,36.569148936170215,63.56382978723404,78.8563829787234,90.82446808510637,90.95744680851064,9.441489361702128,35.505319148936174
Milan Škriniar,Internazionale,SVK,DF,23,3150,75.39893617021278,12.101063829787234,75.93085106382979,0.0,81.38297872340425,92.95212765957447,57.579787234042556,26.329787234042552,86.43617021276596,49.734042553191486,0.0,24.867021276595743,30.319148936170215
Kwadwo Asamoah,Internazionale,GHA,DF,29,2671,53.32446808510638,54.920212765957444,11.436170212765957,89.49468085106383,22.340425531914892,36.83510638297872,62.5,86.83510638297872,92.02127659574468,53.98936170212766,0.0,53.590425531914896,29.388297872340424
Danilo D'Ambrosio,Internazionale,ITA,DF,29,2579,93.75,28.723404255319153,4.388297872340425,0.0,28.98936170212766,73.27127659574468,90.29255319148936,84.30851063829788,59.57446808510638,92.2872340425532,0.0,56.38297872340425,20.877659574468087
