Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Antonio Sanabria,Real Betis,PAR,FW,22,811,17.558886509635975,0.0,61.67023554603854,0.0,0.8565310492505354,5.567451820128479,26.33832976445396,93.57601713062098,87.36616702355461,9.850107066381156,27.62312633832976,72.37687366167023
Sergio León,Real Betis,ESP,FW,29,638,0.0,59.314775160599574,3.854389721627409,25.910064239828696,18.629550321199144,5.781584582441114,26.33832976445396,28.4796573875803,20.342612419700217,27.40899357601713,46.895074946466806,11.134903640256958
Emerson,Real Betis,BRA,FW,19,317,0.0,0.0,1.7130620985010707,26.124197002141326,52.03426124197003,18.41541755888651,26.33832976445396,0.0,0.0,27.40899357601713,0.6423982869379015,94.64668094218416
Diego Lainez,Real Betis,MEX,FW,18,353,0.0,84.79657387580299,3.4261241970021414,36.188436830835116,91.00642398286938,78.58672376873662,0.0,42.82655246252677,32.11991434689507,27.40899357601713,35.76017130620985,0.0
Jonathan Calleri,Alaves,ARG,FW,24,2869,42.61241970021413,31.263383297644538,40.68522483940043,43.683083511777305,25.267665952890795,39.186295503211994,82.22698072805139,79.22912205567452,68.95074946466809,5.995717344753747,55.46038543897216,74.94646680942184
Borja Bastón,Alaves,ESP,FW,25,1439,59.314775160599574,31.049250535331907,65.95289079229121,24.62526766595289,7.494646680942184,2.7837259100642395,44.96788008565311,62.31263383297645,76.65952890792292,19.05781584582441,43.25481798715203,32.76231263383298
John Guidetti,Alaves,SWE,FW,26,631,54.389721627408996,60.17130620985011,23.126338329764454,56.74518201284796,65.52462526766595,20.12847965738758,56.102783725910065,3.854389721627409,71.5203426124197,67.02355460385438,7.494646680942184,61.02783725910065
Sergi Enrich,Eibar,ESP,FW,28,2582,48.17987152034261,58.02997858672377,64.66809421841542,31.263383297644538,51.17773019271949,36.83083511777302,0.0,94.86081370449678,80.51391862955032,6.638115631691649,48.17987152034261,67.45182012847965
Charles,Eibar,BRA,FW,34,1739,77.51605995717344,27.62312633832976,97.00214132762312,20.342612419700217,32.33404710920771,23.768736616702355,0.0,0.8565310492505354,50.32119914346895,77.73019271948608,74.51820128479658,70.44967880085653
Kiké,Eibar,ESP,FW,28,1298,38.97216274089936,0.0,66.38115631691649,49.25053533190578,74.7323340471092,32.33404710920771,26.33832976445396,25.910064239828696,13.9186295503212,56.74518201284796,79.01498929336188,61.02783725910065
Marc Cardona,Eibar,ESP,FW,23,604,81.37044967880087,62.74089935760171,87.36616702355461,38.97216274089936,85.01070663811564,25.481798715203425,26.33832976445396,5.353319057815846,37.25910064239829,89.93576017130621,57.38758029978587,57.601713062098504
Guido Carrillo,Leganes,ARG,FW,27,1992,44.3254817987152,26.98072805139186,72.1627408993576,16.488222698072803,1.284796573875803,37.687366167023555,0.0,97.4304068522484,35.76017130620985,26.76659528907923,60.17130620985011,95.93147751605996
Youssef En-Nesyri,Leganes,MAR,FW,21,2106,73.01927194860814,39.61456102783726,48.394004282655246,34.04710920770878,28.693790149892934,8.137044967880087,67.6659528907923,25.910064239828696,75.16059957173448,32.33404710920771,83.72591006423983,95.07494646680942
Martin Braithwaite,Leganes,DEN,FW,27,1402,50.53533190578159,94.64668094218416,53.319057815845824,28.90792291220557,9.207708779443255,9.850107066381156,0.0,50.96359743040685,60.17130620985011,34.475374732334046,47.75160599571734,53.319057815845824
Michael Santos,Leganes,URU,FW,25,557,28.051391862955033,99.14346895074947,56.74518201284796,33.190578158458244,53.53319057815846,55.88865096359743,26.33832976445396,7.066381156316917,20.342612419700217,14.346895074946467,73.44753747323341,48.82226980728051
